away_team,home_team,away_score,home_score,away_win,home_win,date,WEEK
REDWOODS,WHIPSNAKES,11,12,False,True,2019-09-21,13
ARCHERS,ATLAS,25,7,True,False,2019-09-21,13
CHROME,ARCHERS,10,12,False,True,2019-09-14,12
REDWOODS,CHAOS,12,7,True,False,2019-09-14,12
WHIPSNAKES,CHAOS,15,7,True,False,2019-09-07,11
CHROME,ATLAS,8,17,False,True,2019-09-07,11
REDWOODS,ARCHERS,16,12,True,False,2019-09-06,11
WHIPSNAKES,ARCHERS,8,11,False,True,2019-08-25,10
REDWOODS,CHROME,18,7,True,False,2019-08-25,10
ATLAS,CHAOS,12,9,True,False,2019-08-24,10
WHIPSNAKES,REDWOODS,17,4,True,False,2019-08-18,9
CHROME,ATLAS,14,17,False,True,2019-08-17,9
CHAOS,ARCHERS,11,10,True,False,2019-08-17,9
ARCHERS,ATLAS,15,11,True,False,2019-08-11,8
CHROME,WHIPSNAKES,20,16,True,False,2019-08-10,8
REDWOODS,CHAOS,10,13,False,True,2019-08-10,8
ARCHERS,CHROME,9,7,True,False,2019-07-28,7
CHAOS,WHIPSNAKES,13,12,True,False,2019-07-27,7
ATLAS,REDWOODS,18,15,True,False,2019-07-27,7
CHROME,CHAOS,19,11,True,False,2019-07-07,6
ATLAS,WHIPSNAKES,9,11,False,True,2019-07-06,6
ARCHERS,REDWOODS,8,9,False,True,2019-07-06,6
REDWOODS,WHIPSNAKES,14,11,True,False,2019-06-29,5
CHAOS,CHROME,15,14,True,False,2019-06-29,5
ATLAS,ARCHERS,13,12,True,False,2019-06-28,5
ARCHERS,CHAOS,13,14,False,True,2019-06-23,4
WHIPSNAKES,ATLAS,15,10,True,False,2019-06-22,4
CHROME,REDWOODS,11,13,False,True,2019-06-22,4
CHROME,ATLAS,12,13,False,True,2019-06-16,3
ARCHERS,WHIPSNAKES,10,11,False,True,2019-06-15,3
CHAOS,REDWOODS,12,11,True,False,2019-06-15,3
CHAOS,ATLAS,18,13,True,False,2019-06-09,2
REDWOODS,ARCHERS,9,10,False,True,2019-06-08,2
WHIPSNAKES,CHROME,12,11,True,False,2019-06-08,2
REDWOODS,ATLAS,11,9,True,False,2019-06-02,1
CHAOS,WHIPSNAKES,14,15,False,True,2019-06-01,1
CHROME,ARCHERS,12,13,False,True,2019-06-01,1
