full_name,team_code,number,position,games_played,points,goals,assists,1_point_attempts,1_point_percent,2_point_attempts,2_point_percent,total_shots,shooting_percent,shots_on_goal,turnovers,caused_turnovers,groundballs,faceoff_attempts,faceoff_win_percent,first_name,last_name,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
Adam Ghitelman,ARC,8,Goalie,3,1,0,1,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,2,7,0-0,0.0%,Adam,Ghitelman,0,0,0,0,0,0
Austin Sims,ARC,18,Midfield,1,0,0,0,0-3,0.0%,0-0,0.0%,3,0.0%,1,0,1,2,0-0,0.0%,Austin,Sims,0,3,0,0,0,0
Ben McIntosh,ARC,90,Midfield,2,3,1,2,1-7,14.2%,0-0,0.0%,7,14.2%,5,0,0,0,0-0,0.0%,Ben,McIntosh,1,7,0,0,0,0
Christian Cuccinello,ARC,30,Attack,3,5,4,1,4-9,44.4%,0-0,0.0%,9,44.4%,8,1,1,6,0-0,0.0%,Christian,Cuccinello,4,9,0,0,0,0
Danny Eipp,ARC,3,Midfield,3,6,3,3,3-9,33.3%,0-0,0.0%,9,33.3%,6,1,1,3,0-0,0.0%,Danny,Eipp,3,9,0,0,0,0
Davey Emala,ARC,0,Attack,1,1,1,0,1-3,33.3%,0-0,0.0%,3,33.3%,2,0,0,0,0-0,0.0%,Davey,Emala,1,3,0,0,0,0
Dominique Alexander,ARC,23,Midfield,3,1,1,0,1-2,50.0%,0-0,0.0%,2,50.0%,1,0,0,3,0-0,0.0%,Dominique,Alexander,1,2,0,0,0,0
Drew Adams,ARC,14,Goalie,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,2,0-0,0.0%,Drew,Adams,0,0,0,0,0,0
Evan Connell,ARC,99,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%,Evan,Connell,0,0,0,0,0,0
Goran Murray,ARC,44,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Goran,Murray,0,0,0,0,0,0
Ian MacKay,ARC,94,Midfield,1,0,0,0,0-3,0.0%,0-0,0.0%,3,0.0%,2,1,0,0,0-0,0.0%,Ian,MacKay,0,3,0,0,0,0
Jackson Place,ARC,17,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,0,2,0-0,0.0%,Jackson,Place,0,0,0,0,0,0
Kevin Rice,ARC,22,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Kevin,Rice,0,0,0,0,0,0
Marcus Holman,ARC,1,Attack,3,11,10,1,10-30,33.3%,0-1,0.0%,31,32.2%,21,7,3,7,0-0,0.0%,Marcus,Holman,10,30,0,1,0,0
Mark McNeill,ARC,21,Midfield,3,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,0,0,2,9,0-0,0.0%,Mark,McNeill,0,2,0,0,0,0
Matt McMahon,ARC,11,Defense,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,5,3,0-0,0.0%,Matt,McMahon,0,0,0,0,0,0
Michael Noone,ARC,12,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Michael,Noone,0,0,0,0,0,0
Nick Tintle,ARC,88,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Nick,Tintle,0,0,0,0,0,0
Ryan Ambler,ARC,13,Attack,3,10,6,4,6-16,37.5%,0-0,0.0%,16,37.5%,11,4,0,3,0-0,0.0%,Ryan,Ambler,6,16,0,0,0,0
