team_code,first_name,last_name,position,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
ARC,Adam,Ghitelman,Goalie,9,0,0,0,2,2,3,1,11,0,0,0,2,0,0,3,1,0,1,0,0,2,2,7,0,0,0,0,0,0
ARC,Austin,Sims,Midfield,3,2,2,0,12,6,2,0,1,2,10,0,2,0,0,1,0,0,0,3,1,0,1,2,0,3,0,0,0,0
ARC,Ben,McIntosh,Midfield,10,13,11,2,44,27,7,0,7,11,43,0,1,0,0,2,3,1,2,7,5,0,0,0,1,7,0,0,0,0
ARC,Christian,Cuccinello,Attack,8,12,8,4,28,17,7,0,10,8,27,0,1,0,0,3,5,4,1,9,8,1,1,6,4,9,0,0,0,0
ARC,Danny,Eipp,Midfield,9,9,5,4,19,12,4,1,3,5,19,0,0,0,0,3,6,3,3,9,6,1,1,3,3,9,0,0,0,0
ARC,Davey,Emala,Attack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,0,0,0,1,3,0,0,0,0
ARC,Dominique,Alexander,Midfield,10,1,0,1,3,1,2,5,15,0,2,0,1,0,0,3,1,1,0,2,1,0,0,3,1,2,0,0,0,0
ARC,Drew,Adams,Goalie,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ARC,Evan,Connell,Defense,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC,Goran,Murray,Defense,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Ian,MacKay,Midfield,4,3,2,1,11,7,3,0,1,2,8,0,3,0,0,1,0,0,0,3,2,1,0,0,0,3,0,0,0,0
ARC,Jackson,Place,Defense,10,0,0,0,0,0,1,12,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
ARC,Kevin,Rice,Attack,6,7,3,4,27,17,7,0,4,3,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Marcus,Holman,Attack,10,32,23,7,74,43,19,0,17,21,64,2,10,0,0,3,11,10,1,31,21,7,3,7,10,30,0,1,0,0
ARC,Mark,McNeill,Midfield,9,0,0,0,2,2,3,3,18,0,2,0,0,0,0,3,0,0,0,2,0,0,2,9,0,2,0,0,0,0
ARC,Matt,McMahon,Defense,10,0,0,0,3,0,3,11,23,0,0,0,3,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0
ARC,Michael,Noone,Defense,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Nick,Tintle,Midfield,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
